size	name	format	file	total	CJK	其他字符	规范一二级	规范繁简	GBT2312	GBT12345	GBK	古籍	Big5常用	Big5完整
4004616	方正大标宋简体	ttf	方正/方正大标宋/方正大标宋简体.ttf	8112	6763	827	6310	6641	6763	4685	6763	4422	3328	4384
9941772	方正大标宋简繁	ttf	方正/方正大标宋/方正大标宋简繁.ttf	16810	15798	979	6457	10031	6763	6864	15797	11114	5401	13059
4232760	方正大标宋繁体	ttf	方正/方正大标宋/方正大标宋繁体.ttf	7822	6763	827	6310	6641	6763	4685	6763	4422	3328	4384
3443912	方正宋三_GBK	ttf	方正/方正宋三_GBK.ttf	8228	7215	980	6392	6924	6763	4687	7214	4708	3450	4683
7692344	方正宋刻本秀楷_GBK	ttf	方正/方正宋刻本秀楷_GBK.ttf	10349	9337	979	6387	9031	6763	6864	9336	6703	4974	6685
13905904	方正小标宋_GBK	ttf	方正/方正小标宋/方正小标宋_GBK.ttf	22009	20924	979	6489	10371	6763	6865	20923	12307	5401	13060
4284892	方正小标宋简体	ttf	方正/方正小标宋/方正小标宋简体.ttf	8112	6763	827	6310	6641	6763	4685	6763	4422	3328	4384
4503484	方正小标宋繁体	ttf	方正/方正小标宋/方正小标宋繁体.ttf	7822	6763	827	6310	6641	6763	4685	6763	4422	3328	4384
9573564	方正屏显雅宋_GBK	ttf	方正/方正屏显雅宋_GBK.ttf	22002	20924	972	6489	10371	6763	6865	20923	12307	5401	13060
10789348	FZYouSongJ GBK 508R	ttf	方正/方正悠宋+GBK 508R.ttf	22002	20924	972	6489	10371	6763	6865	20923	12307	5401	13060
5850320	FZYouH_GBK 508R	ttf	方正/方正悠黑_GBK 508R.ttf	22002	20924	972	6489	10371	6763	6865	20923	12307	5401	13060
18013484	方正新楷体_GBK	ttf	方正/方正新楷体_GBK.ttf	22009	20924	979	6489	10371	6763	6865	20923	12307	5401	13060
11433024	方正标雅宋_GBK	ttf	方正/方正标雅宋_GBK.ttf	22009	20924	979	6489	10371	6763	6865	20923	12307	5401	13060
14129888	方正楷体_GBK	ttf	方正/方正楷体/方正楷体_GBK.ttf	22009	20924	979	6489	10371	6763	6865	20923	12307	5401	13060
3927980	方正楷体简体	ttf	方正/方正楷体/方正楷体简体.ttf	8112	6763	827	6310	6641	6763	4685	6763	4422	3328	4384
4342356	方正楷体繁体	ttf	方正/方正楷体/方正楷体繁体.ttf	7812	6763	818	6310	6641	6763	4685	6763	4422	3328	4384
5459996	方正清刻本悦宋 简繁	ttf	方正/方正清刻本悦宋简繁.ttf	10622	9617	972	6403	9092	6763	6864	9616	6825	5016	6847
9960440	方正黑体_GBK	ttf	方正/方正黑体/方正黑体_GBK.ttf	22009	20924	979	6489	10371	6763	6865	20923	12307	5401	13060
3190376	方正黑体简体	ttf	方正/方正黑体/方正黑体简体.ttf	8097	6763	827	6310	6641	6763	4685	6763	4422	3328	4384
3131180	方正黑体繁体	ttf	方正/方正黑体/方正黑体繁体.ttf	7807	6763	827	6310	6641	6763	4685	6763	4422	3328	4384
2277332	昆仑仿宋	ttf	昆仑/昆仑仿宋.ttf	7774	6763	875	6310	6641	6763	4685	6763	4422	3328	4384
2399128	昆仑宋体	ttf	昆仑/昆仑宋体.ttf	7774	6763	875	6310	6641	6763	4685	6763	4422	3328	4384
2394796	昆仑楷体	ttf	昆仑/昆仑楷体.ttf	7774	6763	875	6310	6641	6763	4685	6763	4422	3328	4384
2207036	昆仑黑体	ttf	昆仑/昆仑黑体.ttf	7774	6763	875	6310	6641	6763	4685	6763	4422	3328	4384
19489012	汉仪中宋S Regular	ttf	汉仪/汉仪中宋S.ttf	28681	27506	1007	6497	10463	6763	6865	20989	13338	5401	13060
14999500	汉仪中黑 S	ttf	汉仪/汉仪中黑S.ttf	28666	27520	1122	6497	10463	6763	6865	21003	13338	5401	13060
5466752	汉仪书宋一简	ttf	汉仪/汉仪书宋一简.ttf	8773	7257	940	6460	7075	6763	4689	7257	4712	3371	4667
14504004	汉仪书宋二S Regular	ttf	汉仪/汉仪书宋二S.ttf	28354	27513	815	6497	10463	6763	6865	20997	13338	5401	13060
19171272	汉仪仿宋S Regular	ttf	汉仪/汉仪仿宋S.ttf	28681	27506	1007	6497	10463	6763	6865	20989	13338	5401	13060
8621420	汉仪旗黑-55S Book	ttf	汉仪/汉仪旗黑-55S.ttf	28873	27506	1199	6497	10463	6763	6865	20989	13338	5401	13060
10217480	汉仪昌黎宋刻本精修版W	ttf	汉仪/汉仪昌黎宋刻本精修版W.ttf	10204	9577	627	6344	8816	6763	6800	9190	6541	4888	6547
22764860	汉仪楷体S Regular	ttf	汉仪/汉仪楷体S.ttf	28354	27513	815	6497	10463	6763	6865	20997	13338	5401	13060
3996872	仿宋_GB2312	ttf	长城/仿宋_GB2312.ttf	7680	6763	917	6310	6641	6763	4685	6763	4422	3328	4384
4135804	楷体_GB2312	ttf	长城/楷体_GB2312.ttf	7601	6763	838	6310	6641	6763	4685	6763	4422	3328	4384
